id|course_id|grade
9|3|15
9|3|13.75
9|3|11.25
9|3|11.75
9|3|10.5
9|3|9
9|3|12.5
9|3|9.5
9|3|10
9|5|unknown
9|5|11
9|5|6
9|5|6.5
9|5|12.5
9|5|7.5
9|5|8.5
9|6|14.25
9|6|12.25
9|6|16.25
9|6|13
9|6|9.25
9|6|8.75
9|6|11.25
9|7|8
9|7|5.5
9|7|8
9|7|12
9|7|4.5
9|7|7.5
9|7|8
9|7|7
9|1|13.1
9|1|7.8
9|1|9
9|1|4.2
9|1|9.7
9|9|10.5
9|9|10.7
9|9|15.4
9|9|12.2
9|4|15.5
9|4|11
9|4|12
9|4|10
9|4|12.5
9|4|9.5
9|10|8
9|10|8
9|10|8
9|8|13
9|8|17
9|8|15.5
9|8|11.25
9|8|10.75
9|8|12
9|8|10
9|8|9.5
9|2|10.5
9|2|12
9|2|12.5
9|2|10
20|3|12.75
20|3|10.5
20|3|12
20|3|10.75
20|3|12.25
20|3|14.25
20|3|12
20|3|10.5
20|3|11.5
20|5|3.5
20|5|12.5
20|5|6.5
20|5|8.5
20|5|11
20|5|9.5
20|5|8.5
20|6|10.25
20|6|8.75
20|6|10
20|6|15
20|6|11
20|6|13.25
20|6|12.75
20|7|8.5
20|7|5.5
20|7|8.5
20|7|10
20|7|9.5
20|7|11
20|7|8.5
20|7|10.5
20|1|8.8
20|1|9.6
20|1|8.8
20|1|5.6
20|1|7.5
20|9|16.5
20|9|18.7
20|9|15.7
20|9|10.4
20|4|8
20|4|13.5
20|4|12.5
20|4|7.5
20|4|11
20|4|8.5
20|10|8
20|10|6
20|10|8
20|8|14
20|8|7
20|8|9.5
20|8|10
20|8|11.5
20|8|16.5
20|8|6.5
20|8|12
20|2|12.5
20|2|14.5
20|2|9.5
20|2|10.5
66|3|11
66|3|12
66|3|10
66|3|11.25
66|3|10.5
66|3|8.5
66|3|12.25
66|5|6.5
66|5|5
66|5|3
66|5|5.5
66|5|8
66|5|9.5
66|5|4.5
66|6|8.25
66|6|9.75
66|6|13.5
66|6|9
66|6|15
66|6|10.75
66|6|12.5
66|7|9
66|7|7.5
